"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2010M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","18 715","d"
"2010M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","14 970","d"
"2010M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","20 565","d"
"2010M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","16 695","d"
"2010M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","22 795","d"
"2010M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","18 150","d"
"2010M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","18 395","d"
"2010M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","14 490","d"
"2010M05","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","18 210","d"
"2010M05","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","14 175","d"
"2010M06","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","19 610","d"
"2010M06","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","15 060","d"
"2010M07","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","19 635","d"
"2010M07","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","15 475","d"
"2010M08","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","22 080","d"
"2010M08","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","17 535","d"
"2010M09","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","25 175","d"
"2010M09","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","20 545","d"
"2010M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","27 405","d"
"2010M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","22 270","d"
"2010M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","24 740","d"
"2010M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","20 055","d"
"2010M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","22 070","d"
"2010M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","18 105","d"
"2011M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","21 100","d"
"2011M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","17 820","d"
"2011M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","22 510","d"
"2011M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","19 360","d"
"2011M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","25 620","d"
"2011M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","21 955","d"
"2011M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","23 105","d"
"2011M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","19 845","d"
"2011M05","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","28 625","d"
"2011M05","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","25 045","d"
"2011M06","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","26 375","d"
"2011M06","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","22 935","d"
"2011M07","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","26 195","d"
"2011M07","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","22 385","d"
"2011M08","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","26 600","d"
"2011M08","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","22 545","d"
"2011M09","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","28 180","d"
"2011M09","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","23 975","d"
"2011M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","28 045","d"
"2011M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","23 375","d"
"2011M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","26 980","d"
"2011M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","22 685","d"
"2011M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","25 715","d"
"2011M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","21 300","d"
"2012M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","24 850","d"
"2012M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","20 345","d"
"2012M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","22 995","d"
"2012M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","18 915","d"
"2012M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","23 825","d"
"2012M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","19 610","d"
"2012M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","21 795","d"
"2012M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","17 765","d"
"2012M05","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","24 435","d"
"2012M05","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","20 175","d"
"2012M06","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","24 795","d"
"2012M06","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","20 385","d"
"2012M07","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","28 375","d"
"2012M07","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","23 405","d"
"2012M08","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","29 275","d"
"2012M08","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","24 080","d"
"2012M09","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","32 215","d"
"2012M09","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","26 650","d"
"2012M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","40 725","d"
"2012M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","33 745","d"
"2012M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","34 465","d"
"2012M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","29 515","d"
"2012M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","27 545","d"
"2012M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","23 685","d"
"2013M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","30 020",""
"2013M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","25 430","d"
"2013M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","27 220",""
"2013M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","22 940","d"
"2013M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","29 440",""
"2013M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","25 150","d"
"2013M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","33 280",""
"2013M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","28 485","d"
